"Rotation","Crop_ID","Corn_weed_management","Crop","Parameter","Rank","Value","Value_rounded"
"3-year","C3","conventional","corn","s_s2",15,0.291061118679603,"0.29"
"3-year","C3","conventional","corn","s_p1",10,5.65372375963084e-06,"0"
"3-year","C3","conventional","corn","s_p2",11,1.05927512752299e-05,"0"
"3-year","C3","conventional","corn","s_p3",13,0.000110111252171897,"0"
"3-year","C3","conventional","corn","s_p4",9,3.80601955524641e-06,"0"
"3-year","C3","conventional","corn","s_p5",8,1.12752118887555e-07,"0"
"3-year","C3","conventional","corn","s_p6",7,2.08824922649603e-09,"0"
"3-year","C3","conventional","corn","f_1",29,77831396.8686984,"77831396.87"
"3-year","C3","conventional","corn","f_2",31,141486161.110376,"141486161.11"
"3-year","C3","conventional","corn","f_3",30,90990992.1708776,"90990992.17"
"3-year","C3","conventional","corn","f_4",28,58359051.7497918,"58359051.75"
"3-year","C3","conventional","corn","f_5",27,4999795.61449947,"4999795.61"
"3-year","C3","conventional","corn","f_6",26,1287249.36720809,"1287249.37"
"3-year","C3","conventional","corn","t_11_f",18,6.68579908122077,"6.69"
"3-year","C3","conventional","corn","t_21_f",20,10.3622591031187,"10.36"
"3-year","C3","conventional","corn","t_12_f",16,4.55498463154099,"4.55"
"3-year","C3","conventional","corn","t_22_f",19,7.05972919457417,"7.06"
"3-year","C3","conventional","corn","o_11",24,830.565271817407,"830.57"
"3-year","C3","conventional","corn","o_22",12,2.70092793729231e-05,"0"
"3-year","C3","low","corn","t_11_s",17,9.34644551055744,"9.35"
"3-year","C3","low","corn","t_21_s",21,49.560876084618,"49.56"
"3-year","C3","low","corn","t_12_s",22,466.638748616366,"466.64"
"3-year","C3","low","corn","t_22_s",25,2474.41930414438,"2474.42"
"3-year","C3","low","corn","d",23,553.93494894355,"553.93"
"3-year","C3","low","corn","g_1",1,0,"0"
"3-year","C3","low","corn","g_2",1,0,"0"
"3-year","C3","low","corn","g_3",1,0,"0"
"3-year","C3","low","corn","g_4",1,0,"0"
"3-year","C3","low","corn","g_5",1,0,"0"
"3-year","C3","low","corn","g_6",1,0,"0"
"3-year","C3","low","corn","s_s1",14,0.484308002701525,"0.48"
"3-year","C3","low","corn","s_s2",15,0.494655534027747,"0.49"
"3-year","C3","low","corn","s_p1",10,9.60844841884935e-06,"0"
"3-year","C3","low","corn","s_p2",11,1.8002277537591e-05,"0"
"3-year","C3","low","corn","s_p3",13,0.000187132999737799,"0"
"3-year","C3","low","corn","s_p4",9,6.46829313431206e-06,"0"
"3-year","C3","low","corn","s_p5",8,1.91621126978757e-07,"0"
"3-year","C3","low","corn","s_p6",7,3.54895920486206e-09,"0"
"3-year","C3","low","corn","f_1",29,5377907.4304423,"5377907.43"
"3-year","C3","low","corn","f_2",31,9776253.64252271,"9776253.64"
"3-year","C3","low","corn","f_3",30,6287194.53313421,"6287194.53"
"3-year","C3","low","corn","f_4",28,4032428.95111128,"4032428.95"
"3-year","C3","low","corn","f_5",27,345470.325185995,"345470.33"
"3-year","C3","low","corn","f_6",26,88944.9273076664,"88944.93"
"3-year","C3","low","corn","t_11_f",18,11.36245036756,"11.36"
"3-year","C3","low","corn","t_21_f",20,17.6105583378501,"17.61"
"3-year","C3","low","corn","t_12_f",16,7.741151980809,"7.74"
"3-year","C3","low","corn","t_22_f",19,11.9979409502561,"12"
"3-year","C3","low","corn","o_11",24,1411.53758337606,"1411.54"
"3-year","C3","low","corn","o_22",12,4.59020070166937e-05,"0"
"3-year","S3","conventional","soybean","t_11_s",25,745.140418056549,"745.14"
"3-year","S3","conventional","soybean","t_21_s",23,507.646942162762,"507.65"
"3-year","S3","conventional","soybean","t_12_s",20,0.111771735631082,"0.11"
"3-year","S3","conventional","soybean","t_22_s",19,0.0761474997710262,"0.08"
"3-year","S3","conventional","soybean","d",24,665.836452833881,"665.84"
"3-year","S3","conventional","soybean","g_1",1,0,"0"
"3-year","S3","conventional","soybean","g_2",1,0,"0"
"3-year","S3","conventional","soybean","g_3",1,0,"0"
"3-year","S3","conventional","soybean","g_4",1,0,"0"
"3-year","S3","conventional","soybean","g_5",1,0,"0"
"3-year","S3","conventional","soybean","g_6",1,0,"0"
"3-year","S3","conventional","soybean","s_s1",13,1.0389688987389e-06,"0"
"3-year","S3","conventional","soybean","s_s2",14,5.91305380695365e-06,"0"
"3-year","S3","conventional","soybean","s_p1",12,2.08061228293289e-10,"0"
"3-year","S3","conventional","soybean","s_p2",11,8.20302808221725e-12,"0"
"3-year","S3","conventional","soybean","s_p3",10,1.44463191884429e-14,"0"
"3-year","S3","conventional","soybean","s_p4",9,5.34176652070385e-17,"0"
"3-year","S3","conventional","soybean","s_p5",7,1.90987121747177e-20,"0"
"3-year","S3","conventional","soybean","s_p6",8,1.10045941947919e-19,"0"
"3-year","S3","conventional","soybean","f_1",31,789923.065282707,"789923.07"
"3-year","S3","conventional","soybean","f_2",30,157198.550486163,"157198.55"
"3-year","S3","conventional","soybean","f_3",29,38642.3586656231,"38642.36"
"3-year","S3","conventional","soybean","f_4",26,2801.78130476198,"2801.78"
"3-year","S3","conventional","soybean","f_5",27,6277.61215234344,"6277.61"
"3-year","S3","conventional","soybean","f_6",28,14423.0252455355,"14423.03"
"3-year","S3","conventional","soybean","t_11_f",15,0.0210060391204956,"0.02"
"3-year","S3","conventional","soybean","t_21_f",17,0.0339192160156579,"0.03"
"3-year","S3","conventional","soybean","t_12_f",16,0.0337519733629941,"0.03"
"3-year","S3","conventional","soybean","t_22_f",18,0.054500540005998,"0.05"
"3-year","S3","conventional","soybean","o_11",22,0.325123925107734,"0.33"
"3-year","S3","conventional","soybean","o_22",21,0.298973174576341,"0.3"
"3-year","S3","low","soybean","t_11_s",25,1266.35887710292,"1266.36"
"3-year","S3","low","soybean","t_21_s",23,862.741029829866,"862.74"
"3-year","S3","low","soybean","t_12_s",20,0.189954975190837,"0.19"
"3-year","S3","low","soybean","t_22_s",19,0.129411933600028,"0.13"
"3-year","S3","low","soybean","d",24,1131.58256123601,"1131.58"
"3-year","S3","low","soybean","g_1",1,0,"0"
"3-year","S3","low","soybean","g_2",1,0,"0"
"3-year","S3","low","soybean","g_3",1,0,"0"
"3-year","S3","low","soybean","g_4",1,0,"0"
"3-year","S3","low","soybean","g_5",1,0,"0"
"3-year","S3","low","soybean","g_6",1,0,"0"
"3-year","S3","low","soybean","s_s1",13,1.765717515879e-06,"0"
"3-year","S3","low","soybean","s_s2",14,1.00491773064103e-05,"0"
"3-year","S3","low","soybean","s_p1",12,3.53598029371891e-10,"0"
"3-year","S3","low","soybean","s_p2",11,1.39409662653033e-11,"0"
"3-year","S3","low","soybean","s_p3",10,2.45513786427816e-14,"0"
"3-year","S3","low","soybean","s_p4",9,9.07828013214969e-17,"0"
"3-year","S3","low","soybean","s_p5",7,3.2458075172956e-20,"0"
"3-year","S3","low","soybean","s_p6",8,1.87022005648771e-19,"0"
"3-year","S3","low","soybean","f_1",31,689590.897278186,"689590.9"
"3-year","S3","low","soybean","f_2",30,137231.958712064,"137231.96"
"3-year","S3","low","soybean","f_3",29,33734.1950834612,"33734.2"
"3-year","S3","low","soybean","f_4",26,2445.91273358575,"2445.91"
"3-year","S3","low","soybean","f_5",27,5480.26053062478,"5480.26"
"3-year","S3","low","soybean","f_6",28,12591.0830531011,"12591.08"
"3-year","S3","low","soybean","t_11_f",15,0.0356995587253085,"0.04"
"3-year","S3","low","soybean","t_21_f",17,0.0576453769852275,"0.06"
"3-year","S3","low","soybean","t_12_f",16,0.0573611497272519,"0.06"
"3-year","S3","low","soybean","t_22_f",18,0.0926231364868204,"0.09"
"3-year","S3","low","soybean","o_11",22,0.5525449415193,"0.55"
"3-year","S3","low","soybean","o_22",21,0.50810199590013,"0.51"
"3-year","O3","conventional","oat","t_11_s",20,0.358686328806545,"0.36"
"3-year","O3","conventional","oat","t_21_s",23,0.547507640299697,"0.55"
"3-year","O3","conventional","oat","t_12_s",19,0.28925031432674,"0.29"
"3-year","O3","conventional","oat","t_22_s",21,0.44151879883438,"0.44"
"3-year","O3","conventional","oat","d",24,0.564856519995199,"0.56"
"3-year","O3","conventional","oat","g_1",1,0,"0"
"3-year","O3","conventional","oat","g_2",1,0,"0"
"3-year","O3","conventional","oat","g_3",1,0,"0"
"3-year","O3","conventional","oat","g_4",1,0,"0"
"3-year","O3","conventional","oat","g_5",1,0,"0"
"3-year","O3","conventional","oat","g_6",1,0,"0"
"3-year","O3","conventional","oat","s_s1",13,0.000147482268115644,"0"
"3-year","O3","conventional","oat","s_s2",15,0.00920571533474254,"0.01"
"3-year","O3","conventional","oat","s_p1",11,9.34005908944503e-10,"0"
"3-year","O3","conventional","oat","s_p2",12,1.01755246385518e-08,"0"
"3-year","O3","conventional","oat","s_p3",10,9.40961862625554e-11,"0"
"3-year","O3","conventional","oat","s_p4",9,2.23781700158022e-12,"0"
"3-year","O3","conventional","oat","s_p5",8,3.20977606977854e-13,"0"
"3-year","O3","conventional","oat","s_p6",7,2.00465053060729e-14,"0"
"3-year","O3","conventional","oat","f_1",30,251317.912764749,"251317.91"
"3-year","O3","conventional","oat","f_2",31,1809425.37897583,"1809425.38"
"3-year","O3","conventional","oat","f_3",28,40049.8851174811,"40049.89"
"3-year","O3","conventional","oat","f_4",29,86329.9647165947,"86329.96"
"3-year","O3","conventional","oat","f_5",27,21289.2207411393,"21289.22"
"3-year","O3","conventional","oat","f_6",26,21281.757334811,"21281.76"
"3-year","O3","conventional","oat","t_11_f",14,0.00330551291063559,"0"
"3-year","O3","conventional","oat","t_21_f",17,0.048130616670674,"0.05"
"3-year","O3","conventional","oat","t_12_f",16,0.0176534864230538,"0.02"
"3-year","O3","conventional","oat","t_22_f",18,0.257047305788794,"0.26"
"3-year","O3","conventional","oat","o_11",22,0.462166541859167,"0.46"
"3-year","O3","conventional","oat","o_22",25,1617.32223244063,"1617.32"
"3-year","O3","low","oat","t_11_s",20,0.609583919450136,"0.61"
"3-year","O3","low","oat","t_21_s",23,0.930483897764588,"0.93"
"3-year","O3","low","oat","t_12_s",19,0.491578089681182,"0.49"
"3-year","O3","low","oat","t_22_s",21,0.750356894838715,"0.75"
"3-year","O3","low","oat","d",24,0.95996814969591,"0.96"
"3-year","O3","low","oat","g_1",1,0,"0"
"3-year","O3","low","oat","g_2",1,0,"0"
"3-year","O3","low","oat","g_3",1,0,"0"
"3-year","O3","low","oat","g_4",1,0,"0"
"3-year","O3","low","oat","g_5",1,0,"0"
"3-year","O3","low","oat","g_6",1,0,"0"
"3-year","O3","low","oat","s_s1",13,0.000250644677053802,"0"
"3-year","O3","low","oat","s_s2",15,0.0156450234771038,"0.02"
"3-year","O3","low","oat","s_p1",11,1.58733393786819e-09,"0"
"3-year","O3","low","oat","s_p2",12,1.72932049355449e-08,"0"
"3-year","O3","low","oat","s_p3",10,1.59915551334478e-10,"0"
"3-year","O3","low","oat","s_p4",9,3.80314818068006e-12,"0"
"3-year","O3","low","oat","s_p5",8,5.45498314274517e-13,"0"
"3-year","O3","low","oat","s_p6",7,3.40688403609179e-14,"0"
"3-year","O3","low","oat","f_1",30,119188.974485833,"119188.97"
"3-year","O3","low","oat","f_2",31,858130.456982767,"858130.46"
"3-year","O3","low","oat","f_3",28,18993.8897825255,"18993.89"
"3-year","O3","low","oat","f_4",29,40942.4853516145,"40942.49"
"3-year","O3","low","oat","f_5",27,10096.5361355446,"10096.54"
"3-year","O3","low","oat","f_6",26,10092.9965719032,"10093"
"3-year","O3","low","oat","t_11_f",14,0.00561768697057043,"0.01"
"3-year","O3","low","oat","t_21_f",17,0.0817975138703591,"0.08"
"3-year","O3","low","oat","t_12_f",16,0.0300019280955895,"0.03"
"3-year","O3","low","oat","t_22_f",18,0.4368493905753,"0.44"
"3-year","O3","low","oat","o_11",22,0.785447532841919,"0.79"
"3-year","O3","low","oat","o_22",25,2748.62336890664,"2748.62"
"4-year","C4","conventional","corn","t_11_s",17,0.00732726601521378,"0.01"
"4-year","C4","conventional","corn","t_21_s",18,0.00747876024674486,"0.01"
"4-year","C4","conventional","corn","t_12_s",23,0.382478362828656,"0.38"
"4-year","C4","conventional","corn","t_22_s",24,0.390386259926112,"0.39"
"4-year","C4","conventional","corn","d",22,0.315826045819331,"0.32"
"4-year","C4","conventional","corn","g_1",1,0,"0"
"4-year","C4","conventional","corn","g_2",1,0,"0"
"4-year","C4","conventional","corn","g_3",1,0,"0"
"4-year","C4","conventional","corn","g_4",1,0,"0"
"4-year","C4","conventional","corn","g_5",1,0,"0"
"4-year","C4","conventional","corn","g_6",1,0,"0"
"4-year","C4","conventional","corn","s_s1",19,0.148390103607772,"0.15"
"4-year","C4","conventional","corn","s_s2",13,0.00224410183062905,"0"
"4-year","C4","conventional","corn","s_p1",1,0,"0"
"4-year","C4","conventional","corn","s_p2",1,0,"0"
"4-year","C4","conventional","corn","s_p3",1,0,"0"
"4-year","C4","conventional","corn","s_p4",1,0,"0"
"4-year","C4","conventional","corn","s_p5",1,0,"0"
"4-year","C4","conventional","corn","s_p6",1,0,"0"
"4-year","C4","conventional","corn","f_1",29,106107825.588046,"106107825.59"
"4-year","C4","conventional","corn","f_2",31,238222906.067382,"238222906.07"
"4-year","C4","conventional","corn","f_3",26,2340022.92174875,"2340022.92"
"4-year","C4","conventional","corn","f_4",30,180616596.041479,"180616596.04"
"4-year","C4","conventional","corn","f_5",28,9027216.4475568,"9027216.45"
"4-year","C4","conventional","corn","f_6",27,2714813.77842645,"2714813.78"
"4-year","C4","conventional","corn","t_11_f",20,0.17655774361352,"0.18"
"4-year","C4","conventional","corn","t_21_f",21,0.205582256089703,"0.21"
"4-year","C4","conventional","corn","t_12_f",15,0.0053820708938069,"0.01"
"4-year","C4","conventional","corn","t_22_f",16,0.00626683516756733,"0.01"
"4-year","C4","conventional","corn","o_11",25,233.558418802903,"233.56"
"4-year","C4","conventional","corn","o_22",14,0.00224538746451186,"0"
"4-year","C4","low","corn","t_11_s",17,0.010227867536676,"0.01"
"4-year","C4","low","corn","t_21_s",18,0.0104393328948946,"0.01"
"4-year","C4","low","corn","t_12_s",23,0.533887813344531,"0.53"
"4-year","C4","low","corn","t_22_s",24,0.544926162960678,"0.54"
"4-year","C4","low","corn","d",22,0.440850237259746,"0.44"
"4-year","C4","low","corn","g_1",1,0,"0"
"4-year","C4","low","corn","g_2",1,0,"0"
"4-year","C4","low","corn","g_3",1,0,"0"
"4-year","C4","low","corn","g_4",1,0,"0"
"4-year","C4","low","corn","g_5",1,0,"0"
"4-year","C4","low","corn","g_6",1,0,"0"
"4-year","C4","low","corn","s_s1",19,0.207132417507791,"0.21"
"4-year","C4","low","corn","s_s2",13,0.00313246116830335,"0"
"4-year","C4","low","corn","s_p1",1,0,"0"
"4-year","C4","low","corn","s_p2",1,0,"0"
"4-year","C4","low","corn","s_p3",1,0,"0"
"4-year","C4","low","corn","s_p4",1,0,"0"
"4-year","C4","low","corn","s_p5",1,0,"0"
"4-year","C4","low","corn","s_p6",1,0,"0"
"4-year","C4","low","corn","f_1",29,10591248.4082678,"10591248.41"
"4-year","C4","low","corn","f_2",31,23778434.4436075,"23778434.44"
"4-year","C4","low","corn","f_3",26,233571.500574353,"233571.5"
"4-year","C4","low","corn","f_4",30,18028408.5997384,"18028408.6"
"4-year","C4","low","corn","f_5",28,901059.759743546,"901059.76"
"4-year","C4","low","corn","f_6",27,270981.588305604,"270981.59"
"4-year","C4","low","corn","t_11_f",20,0.246450614800123,"0.25"
"4-year","C4","low","corn","t_21_f",21,0.286964889606936,"0.29"
"4-year","C4","low","corn","t_12_f",15,0.00751263951118473,"0.01"
"4-year","C4","low","corn","t_22_f",16,0.00874765019244235,"0.01"
"4-year","C4","low","corn","o_11",25,326.015810621812,"326.02"
"4-year","C4","low","corn","o_22",14,0.00313425573847819,"0"
"4-year","S4","conventional","soybean","t_11_s",24,203.267490804496,"203.27"
"4-year","S4","conventional","soybean","t_21_s",23,199.085811974712,"199.09"
"4-year","S4","conventional","soybean","t_12_s",21,5.52840660377321,"5.53"
"4-year","S4","conventional","soybean","t_22_s",20,5.41467459101537,"5.41"
"4-year","S4","conventional","soybean","d",22,169.034725459854,"169.03"
"4-year","S4","conventional","soybean","g_1",1,0,"0"
"4-year","S4","conventional","soybean","g_2",1,0,"0"
"4-year","S4","conventional","soybean","g_3",1,0,"0"
"4-year","S4","conventional","soybean","g_4",1,0,"0"
"4-year","S4","conventional","soybean","g_5",1,0,"0"
"4-year","S4","conventional","soybean","g_6",1,0,"0"
"4-year","S4","conventional","soybean","s_s1",16,2.81508383811152,"2.82"
"4-year","S4","conventional","soybean","s_s2",14,1.52724933003145,"1.53"
"4-year","S4","conventional","soybean","s_p1",1,0,"0"
"4-year","S4","conventional","soybean","s_p2",1,0,"0"
"4-year","S4","conventional","soybean","s_p3",1,0,"0"
"4-year","S4","conventional","soybean","s_p4",1,0,"0"
"4-year","S4","conventional","soybean","s_p5",1,0,"0"
"4-year","S4","conventional","soybean","s_p6",1,0,"0"
"4-year","S4","conventional","soybean","f_1",28,2884545056.60962,"2884545056.61"
"4-year","S4","conventional","soybean","f_2",31,7911657963.42937,"7911657963.43"
"4-year","S4","conventional","soybean","f_3",30,5394609018.47914,"5394609018.48"
"4-year","S4","conventional","soybean","f_4",29,3148511814.36733,"3148511814.37"
"4-year","S4","conventional","soybean","f_5",27,1170675892.6378,"1170675892.64"
"4-year","S4","conventional","soybean","f_6",26,231157047.605115,"231157047.61"
"4-year","S4","conventional","soybean","t_11_f",19,5.36087577861403,"5.36"
"4-year","S4","conventional","soybean","t_21_f",17,3.03888345380347,"3.04"
"4-year","S4","conventional","soybean","t_12_f",18,3.66214003090415,"3.66"
"4-year","S4","conventional","soybean","t_22_f",15,2.0759325910557,"2.08"
"4-year","S4","conventional","soybean","o_11",25,1164.37697954092,"1164.38"
"4-year","S4","conventional","soybean","o_22",13,0.00611620348914282,"0.01"
"4-year","S4","low","soybean","t_11_s",24,283.73379185964,"283.73"
"4-year","S4","low","soybean","t_21_s",23,277.89673652916,"277.9"
"4-year","S4","low","soybean","t_12_s",21,7.71690427437379,"7.72"
"4-year","S4","low","soybean","t_22_s",20,7.55814984144458,"7.56"
"4-year","S4","low","soybean","d",22,235.949503882088,"235.95"
"4-year","S4","low","soybean","g_1",1,0,"0"
"4-year","S4","low","soybean","g_2",1,0,"0"
"4-year","S4","low","soybean","g_3",1,0,"0"
"4-year","S4","low","soybean","g_4",1,0,"0"
"4-year","S4","low","soybean","g_5",1,0,"0"
"4-year","S4","low","soybean","g_6",1,0,"0"
"4-year","S4","low","soybean","s_s1",16,3.92947445077875,"3.93"
"4-year","S4","low","soybean","s_s2",14,2.1318325021373,"2.13"
"4-year","S4","low","soybean","s_p1",1,0,"0"
"4-year","S4","low","soybean","s_p2",1,0,"0"
"4-year","S4","low","soybean","s_p3",1,0,"0"
"4-year","S4","low","soybean","s_p4",1,0,"0"
"4-year","S4","low","soybean","s_p5",1,0,"0"
