"Rotation","Crop_ID","Corn_weed_management","Crop","Parameter","Rank","Value","Value_rounded"
"3-year","S3","low","soybean","d",18,0.0777781573183268,"0.08"
"3-year","S3","low","soybean","g_1",1,0,"0"
"3-year","S3","low","soybean","g_2",1,0,"0"
"3-year","S3","low","soybean","g_3",1,0,"0"
"3-year","S3","low","soybean","g_4",1,0,"0"
"3-year","S3","low","soybean","g_5",1,0,"0"
"3-year","S3","low","soybean","g_6",1,0,"0"
"3-year","S3","low","soybean","s_s1",16,0.0348571378240065,"0.03"
"3-year","S3","low","soybean","s_s2",27,0.504447837011571,"0.5"
"3-year","S3","low","soybean","s_p1",12,7.06941643592734e-06,"0"
"3-year","S3","low","soybean","s_p2",11,2.74897578878541e-07,"0"
"3-year","S3","low","soybean","s_p3",10,4.58542155938081e-10,"0"
"3-year","S3","low","soybean","s_p4",9,3.49143587767124e-13,"0"
"3-year","S3","low","soybean","s_p5",7,3.87995400175315e-16,"0"
"3-year","S3","low","soybean","s_p6",8,3.0683096427363e-15,"0"
"3-year","S3","low","soybean","f_1",29,0.850057682672979,"0.85"
"3-year","S3","low","soybean","f_2",22,0.167560369296434,"0.17"
"3-year","S3","low","soybean","f_3",17,0.0396780437195735,"0.04"
"3-year","S3","low","soybean","f_4",13,0.00101809426824318,"0"
"3-year","S3","low","soybean","f_5",14,0.00476734873799998,"0"
"3-year","S3","low","soybean","f_6",15,0.0135535146323834,"0.01"
"3-year","S3","low","soybean","t_11_f",19,0.0837991169496526,"0.08"
"3-year","S3","low","soybean","t_21_f",24,0.216528917423485,"0.22"
"3-year","S3","low","soybean","t_12_f",23,0.212504295313818,"0.21"
"3-year","S3","low","soybean","t_22_f",28,0.549090810107068,"0.55"
"3-year","S3","low","soybean","o_11",21,0.144705672981578,"0.14"
"3-year","S3","low","soybean","o_22",30,0.88257798666279,"0.88"
"3-year","O3","conventional","oat","t_11_s",20,0.355996549375514,"0.36"
"3-year","O3","conventional","oat","t_21_s",27,0.851695732549505,"0.85"
"3-year","O3","conventional","oat","t_12_s",25,0.745684894761958,"0.75"
"3-year","O3","conventional","oat","t_22_s",29,1.78399662527479,"1.78"
"3-year","O3","conventional","oat","d",21,0.429303631463211,"0.43"
"3-year","O3","conventional","oat","g_1",1,0,"0"
"3-year","O3","conventional","oat","g_2",1,0,"0"
"3-year","O3","conventional","oat","g_3",1,0,"0"
"3-year","O3","conventional","oat","g_4",1,0,"0"
"3-year","O3","conventional","oat","g_5",1,0,"0"
"3-year","O3","conventional","oat","g_6",1,0,"0"
"3-year","O3","conventional","oat","s_s1",14,0.00980175199764429,"0.01"
"3-year","O3","conventional","oat","s_s2",24,0.539910000991346,"0.54"
"3-year","O3","conventional","oat","s_p1",11,9.34676437223729e-07,"0"
"3-year","O3","conventional","oat","s_p2",12,6.15819835254517e-06,"0"
"3-year","O3","conventional","oat","s_p3",10,2.43933729961964e-07,"0"
"3-year","O3","conventional","oat","s_p4",9,4.20887762860671e-09,"0"
"3-year","O3","conventional","oat","s_p5",8,8.02365351414188e-10,"0"
"3-year","O3","conventional","oat","s_p6",7,5.01099600200836e-11,"0"
"3-year","O3","conventional","oat","f_1",26,0.818174295940996,"0.82"
"3-year","O3","conventional","oat","f_2",31,3.7043642693693,"3.7"
"3-year","O3","conventional","oat","f_3",19,0.324547408209619,"0.32"
"3-year","O3","conventional","oat","f_4",23,0.512555735142326,"0.51"
"3-year","O3","conventional","oat","f_5",18,0.166515857228773,"0.17"
"3-year","O3","conventional","oat","f_6",17,0.166452988790108,"0.17"
"3-year","O3","conventional","oat","t_11_f",15,0.0308949730207642,"0.03"
"3-year","O3","conventional","oat","t_21_f",22,0.451789165753028,"0.45"
"3-year","O3","conventional","oat","t_12_f",16,0.153475860420429,"0.15"
"3-year","O3","conventional","oat","t_22_f",30,2.24433699605344,"2.24"
"3-year","O3","conventional","oat","o_11",13,0.00176090003679178,"0"
"3-year","O3","conventional","oat","o_22",28,1.44578665146608,"1.45"
"3-year","O3","low","oat","t_11_s",19,0.269895881122753,"0.27"
"3-year","O3","low","oat","t_21_s",26,0.6457061749283,"0.65"
"3-year","O3","low","oat","t_12_s",25,0.565334922669193,"0.57"
"3-year","O3","low","oat","t_22_s",29,1.35252249479156,"1.35"
"3-year","O3","low","oat","d",21,0.325473047663564,"0.33"
"3-year","O3","low","oat","g_1",1,0,"0"
"3-year","O3","low","oat","g_2",1,0,"0"
"3-year","O3","low","oat","g_3",1,0,"0"
"3-year","O3","low","oat","g_4",1,0,"0"
"3-year","O3","low","oat","g_5",1,0,"0"
"3-year","O3","low","oat","g_6",1,0,"0"
"3-year","O3","low","oat","s_s1",14,0.00743111835379173,"0.01"
"3-year","O3","low","oat","s_s2",23,0.409328364839955,"0.41"
"3-year","O3","low","oat","s_p1",11,7.08617319554628e-07,"0"
"3-year","O3","low","oat","s_p2",12,4.6687878671983e-06,"0"
"3-year","O3","low","oat","s_p3",10,1.84936368341587e-07,"0"
"3-year","O3","low","oat","s_p4",9,3.19092625505314e-09,"0"
"3-year","O3","low","oat","s_p5",8,6.08306748709161e-10,"0"
"3-year","O3","low","oat","s_p6",7,3.79904575939595e-11,"0"
"3-year","O3","low","oat","f_1",27,0.750524911925966,"0.75"
"3-year","O3","low","oat","f_2",31,3.39807505662655,"3.4"
"3-year","O3","low","oat","f_3",20,0.297712744302457,"0.3"
"3-year","O3","low","oat","f_4",24,0.470175914696036,"0.47"
"3-year","O3","low","oat","f_5",18,0.152747769883392,"0.15"
"3-year","O3","low","oat","f_6",17,0.152690099617256,"0.15"
"3-year","O3","low","oat","t_11_f",15,0.023422771878913,"0.02"
"3-year","O3","low","oat","t_21_f",22,0.342520272138946,"0.34"
"3-year","O3","low","oat","t_12_f",16,0.116356472139709,"0.12"
"3-year","O3","low","oat","t_22_f",30,1.70152579329438,"1.7"
"3-year","O3","low","oat","o_11",13,0.00133501200456212,"0"
"3-year","O3","low","oat","o_22",28,1.09611136090352,"1.1"
"4-year","C4","conventional","corn","t_11_s",13,0.0420177930352374,"0.04"
"4-year","C4","conventional","corn","t_21_s",14,0.0544436798697085,"0.05"
"4-year","C4","conventional","corn","t_12_s",24,1.06337127836236,"1.06"
"4-year","C4","conventional","corn","t_22_s",25,1.37784117821827,"1.38"
"4-year","C4","conventional","corn","d",21,0.543709831554113,"0.54"
"4-year","C4","conventional","corn","g_1",1,0,"0"
"4-year","C4","conventional","corn","g_2",1,0,"0"
"4-year","C4","conventional","corn","g_3",1,0,"0"
"4-year","C4","conventional","corn","g_4",1,0,"0"
"4-year","C4","conventional","corn","g_5",1,0,"0"
"4-year","C4","conventional","corn","g_6",1,0,"0"
"4-year","C4","conventional","corn","s_s1",19,0.404006142687439,"0.4"
"4-year","C4","conventional","corn","s_s2",15,0.178659042880909,"0.18"
"4-year","C4","conventional","corn","s_p1",1,0,"0"
"4-year","C4","conventional","corn","s_p2",1,0,"0"
"4-year","C4","conventional","corn","s_p3",1,0,"0"
"4-year","C4","conventional","corn","s_p4",1,0,"0"
"4-year","C4","conventional","corn","s_p5",1,0,"0"
"4-year","C4","conventional","corn","s_p6",1,0,"0"
"4-year","C4","conventional","corn","f_1",29,933.932526698754,"933.93"
"4-year","C4","conventional","corn","f_2",31,2085.31913220355,"2085.32"
"4-year","C4","conventional","corn","f_3",26,29.5932367467129,"29.59"
"4-year","C4","conventional","corn","f_4",30,1583.27853611312,"1583.28"
"4-year","C4","conventional","corn","f_5",28,87.872314548418,"87.87"
"4-year","C4","conventional","corn","f_6",27,32.8595494997969,"32.86"
"4-year","C4","conventional","corn","t_11_f",20,0.508576289939994,"0.51"
"4-year","C4","conventional","corn","t_21_f",23,0.804237340643912,"0.8"
"4-year","C4","conventional","corn","t_12_f",17,0.226220144271476,"0.23"
"4-year","C4","conventional","corn","t_22_f",18,0.357733325024727,"0.36"
"4-year","C4","conventional","corn","o_11",22,0.672147162629563,"0.67"
"4-year","C4","conventional","corn","o_22",16,0.178659935295152,"0.18"
"4-year","C4","low","corn","t_11_s",13,0.0249845593979512,"0.02"
"4-year","C4","low","corn","t_21_s",14,0.0323732222776913,"0.03"
"4-year","C4","low","corn","t_12_s",24,0.632300293450422,"0.63"
"4-year","C4","low","corn","t_22_s",25,0.819289931036307,"0.82"
"4-year","C4","low","corn","d",21,0.323299954624497,"0.32"
"4-year","C4","low","corn","g_1",1,0,"0"
"4-year","C4","low","corn","g_2",1,0,"0"
"4-year","C4","low","corn","g_3",1,0,"0"
"4-year","C4","low","corn","g_4",1,0,"0"
"4-year","C4","low","corn","g_5",1,0,"0"
"4-year","C4","low","corn","g_6",1,0,"0"
"4-year","C4","low","corn","s_s1",19,0.240229548959089,"0.24"
"4-year","C4","low","corn","s_s2",15,0.106233981996526,"0.11"
"4-year","C4","low","corn","s_p1",1,0,"0"
"4-year","C4","low","corn","s_p2",1,0,"0"
"4-year","C4","low","corn","s_p3",1,0,"0"
"4-year","C4","low","corn","s_p4",1,0,"0"
"4-year","C4","low","corn","s_p5",1,0,"0"
"4-year","C4","low","corn","s_p6",1,0,"0"
"4-year","C4","low","corn","f_1",29,884.982434451994,"884.98"
"4-year","C4","low","corn","f_2",31,1976.02155345221,"1976.02"
"4-year","C4","low","corn","f_3",26,28.0421700184212,"28.04"
"4-year","C4","low","corn","f_4",30,1500.294350233,"1500.29"
"4-year","C4","low","corn","f_5",28,83.2666735838767,"83.27"
"4-year","C4","low","corn","f_6",27,31.1372859173434,"31.14"
"4-year","C4","low","corn","t_11_f",20,0.302408898861949,"0.3"
"4-year","C4","low","corn","t_21_f",23,0.478214445735336,"0.48"
"4-year","C4","low","corn","t_12_f",17,0.134514695401156,"0.13"
"4-year","C4","low","corn","t_22_f",18,0.212714872963731,"0.21"
"4-year","C4","low","corn","o_11",22,0.399671174894866,"0.4"
"4-year","C4","low","corn","o_22",16,0.106234512642594,"0.11"
"4-year","S4","conventional","soybean","t_11_s",23,0.89007475363382,"0.89"
"4-year","S4","conventional","soybean","t_21_s",24,1.3073090967298,"1.31"
"4-year","S4","conventional","soybean","t_12_s",20,0.353240959099197,"0.35"
"4-year","S4","conventional","soybean","t_22_s",21,0.518827342627811,"0.52"
"4-year","S4","conventional","soybean","d",22,0.662975010416738,"0.66"
"4-year","S4","conventional","soybean","g_1",1,0,"0"
"4-year","S4","conventional","soybean","g_2",1,0,"0"
"4-year","S4","conventional","soybean","g_3",1,0,"0"
"4-year","S4","conventional","soybean","g_4",1,0,"0"
"4-year","S4","conventional","soybean","g_5",1,0,"0"
"4-year","S4","conventional","soybean","g_6",1,0,"0"
"4-year","S4","conventional","soybean","s_s1",13,0.0671380333457775,"0.07"
"4-year","S4","conventional","soybean","s_s2",17,0.209772454594038,"0.21"
"4-year","S4","conventional","soybean","s_p1",1,0,"0"
"4-year","S4","conventional","soybean","s_p2",1,0,"0"
"4-year","S4","conventional","soybean","s_p3",1,0,"0"
"4-year","S4","conventional","soybean","s_p4",1,0,"0"
"4-year","S4","conventional","soybean","s_p5",1,0,"0"
"4-year","S4","conventional","soybean","s_p6",1,0,"0"
"4-year","S4","conventional","soybean","f_1",28,150.846878327235,"150.85"
"4-year","S4","conventional","soybean","f_2",31,373.607679041938,"373.61"
"4-year","S4","conventional","soybean","f_3",30,262.072519834639,"262.07"
"4-year","S4","conventional","soybean","f_4",29,162.54374040495,"162.54"
"4-year","S4","conventional","soybean","f_5",27,74.9021214930137,"74.9"
"4-year","S4","conventional","soybean","f_6",26,33.2702795023325,"33.27"
"4-year","S4","conventional","soybean","t_11_f",14,0.127149809989165,"0.13"
"4-year","S4","conventional","soybean","t_21_f",15,0.129700666779135,"0.13"
"4-year","S4","conventional","soybean","t_12_f",18,0.278231059117674,"0.28"
"4-year","S4","conventional","soybean","t_22_f",19,0.283812880957528,"0.28"
"4-year","S4","conventional","soybean","o_11",25,2.64267164337286,"2.64"
"4-year","S4","conventional","soybean","o_22",16,0.192630452653761,"0.19"
"4-year","S4","low","soybean","t_11_s",23,0.529254964251248,"0.53"
"4-year","S4","low","soybean","t_21_s",24,0.777350246628509,"0.78"
"4-year","S4","low","soybean","t_12_s",20,0.210043628826524,"0.21"
"4-year","S4","low","soybean","t_22_s",21,0.308504365003055,"0.31"
"4-year","S4","low","soybean","d",22,0.394217242995678,"0.39"
"4-year","S4","low","soybean","g_1",1,0,"0"
"4-year","S4","low","soybean","g_2",1,0,"0"
"4-year","S4","low","soybean","g_3",1,0,"0"
"4-year","S4","low","soybean","g_4",1,0,"0"
"4-year","S4","low","soybean","g_5",1,0,"0"
"4-year","S4","low","soybean","g_6",1,0,"0"
"4-year","S4","low","soybean","s_s1",13,0.0399215204040458,"0.04"
"4-year","S4","low","soybean","s_s2",17,0.124734593924612,"0.12"
"4-year","S4","low","soybean","s_p1",1,0,"0"
"4-year","S4","low","soybean","s_p2",1,0,"0"
"4-year","S4","low","soybean","s_p3",1,0,"0"
"4-year","S4","low","soybean","s_p4",1,0,"0"
"4-year","S4","low","soybean","s_p5",1,0,"0"
"4-year","S4","low","soybean","s_p6",1,0,"0"
"4-year","S4","low","soybean","f_1",28,83.2281256530913,"83.23"
"4-year","S4","low","soybean","f_2",31,206.133976394314,"206.13"
