"Plot","Side","Crop_ID","Corn_weed_management","Sample_weight_gram","Sample_soil_analysis_gram","Sample_elutriated_gram","Elutriated_area_m2","Conversion_factor","Stratum","Total_viable_density_check","AMATA_total_viable","AMATA_readily_germinable","AMATA_dormant","AMATA_dead","Year","Block","Crop","Rotation","AMATA_total_viable_density","AMATA_readily_germinable_density","AMATA_dormant_density","AMATA_dead_density","Community_total_viable_density"
"13","E","S2","conv",2893.4,376.2,2517.2,0.00748,133.6898396,"Bottom",3428,16,16,0,3,"2019","1","soybean","2-year",2139.0374336,2139.0374336,0,401.0695188,2807.4866316
"13","E","S2","conv",654,41.8,612.2,0.00805,124.2236025,"Top",NA,3,1,2,14,"2019","1","soybean","2-year",372.6708075,124.2236025,248.447205,1739.130435,621.1180125
"14","W","O4","low",2677.5,361.5,2316,0.00744,134.4086022,"Bottom",39472,44,38,6,23,"2019","1","oat","4-year",5913.9784968,5107.5268836,806.4516132,3091.3978506,9677.4193584
"14","W","O4","low",721.7,45.7,676,0.00806,124.0694789,"Top",NA,145,91,54,200,"2019","1","oat","4-year",17990.0744405,11290.3225799,6699.7518606,24813.89578,29776.674936
"14","E","O4","conv",3089.8,361.4,2728.4,0.00759,131.7523057,"Bottom",50502,117,75,42,53,"2019","1","oat","4-year",15415.0197669,9881.4229275,5533.5968394,6982.8722021,20026.3504664
"14","E","O4","conv",859.5,46.5,813,0.00813,123.00123,"Top",NA,170,138,32,113,"2019","1","oat","4-year",20910.2091,16974.16974,3936.03936,13899.13899,30504.30504
"15","W","S3","conv",3035.7,368.7,2667,0.00756,132.2751323,"Bottom",8263,26,22,4,19,"2019","1","soybean","3-year",3439.1534398,2910.0529106,529.1005292,2513.2275137,7142.8571442
"15","W","S3","conv",815.6,50.7,764.9,0.00807,123.9157373,"Top",NA,4,4,0,8,"2019","1","soybean","3-year",495.6629492,495.6629492,0,991.3258984,1115.2416357
"15","E","S3","low",2770.7,365.5,2405.2,0.00747,133.8688086,"Bottom",5726,7,5,2,15,"2019","1","soybean","3-year",937.0816602,669.344043,267.7376172,2008.032129,5354.752344
"15","E","S3","low",872.3,45.9,826.4,0.00815,122.6993865,"Top",NA,1,1,0,1,"2019","1","soybean","3-year",122.6993865,122.6993865,0,122.6993865,368.0981595
"16","W","C3","conv",2119.7,362,1757.7,0.00713,140.2524544,"Bottom",15810,60,52,8,54,"2019","1","corn","3-year",8415.147264,7293.1276288,1122.0196352,7573.6325376,13464.2356224
"16","W","C3","conv",699.9,41.5,658.4,0.00809,123.6093943,"Top",NA,16,13,3,26,"2019","1","corn","3-year",1977.7503088,1606.9221259,370.8281829,3213.8442518,2348.5784917
"16","E","C3","low",3006.2,363.5,2642.7,0.00756,132.2751323,"Bottom",16981,63,53,10,97,"2019","1","corn","3-year",8333.3333349,7010.5820119,1322.751323,12830.6878331,13756.6137592
"16","E","C3","low",683.2,42.7,640.5,0.00806,124.0694789,"Top",NA,18,15,3,42,"2019","1","corn","3-year",2233.2506202,1861.0421835,372.2084367,5210.9181138,3225.8064514
"17","W","A4","low",2274.5,365,1909.5,0.00722,138.5041551,"Bottom",26241,23,23,0,7,"2019","1","alfalfa","4-year",3185.5955673,3185.5955673,0,969.5290857,10110.8033223
"17","W","A4","low",672.9,42.3,630.6,0.00806,124.0694789,"Top",NA,84,45,39,117,"2019","1","alfalfa","4-year",10421.8362276,5583.1265505,4838.7096771,14516.1290313,16129.032257
"17","E","A4","conv",3366.8,363,3003.8,0.00767,130.3780965,"Bottom",23175,28,28,0,28,"2019","1","alfalfa","4-year",3650.586702,3650.586702,0,3650.586702,4432.855281
"17","E","A4","conv",963.1,43,920.1,0.00822,121.6545012,"Top",NA,42,35,7,87,"2019","1","alfalfa","4-year",5109.4890504,4257.907542,851.5815084,10583.9416044,18734.7931848
"18","W","S4","low",2689.4,362.2,2327.2,0.00744,134.4086022,"Bottom",12457,22,19,3,25,"2019","1","soybean","4-year",2956.9892484,2553.7634418,403.2258066,3360.215055,11155.9139826
"18","W","S4","low",394,42.7,351.3,0.00767,130.3780965,"Top",NA,2,2,0,6,"2019","1","soybean","4-year",260.756193,260.756193,0,782.268579,1303.780965
"18","E","S4","conv",3120.9,360.1,2760.8,0.00761,131.4060447,"Bottom",9765,20,19,1,25,"2019","1","soybean","4-year",2628.120894,2496.7148493,131.4060447,3285.1511175,7752.9566373
"18","E","S4","conv",612.8,45.5,567.3,0.00796,125.6281407,"Top",NA,2,2,0,4,"2019","1","soybean","4-year",251.2562814,251.2562814,0,502.5125628,2010.0502512
"19","W","C2","low",2956.2,361.7,2594.5,0.00755,132.4503311,"Bottom",24656,28,26,2,30,"2019","1","corn","2-year",3708.6092708,3443.7086086,264.9006622,3973.509933,5033.1125818
"19","W","C2","low",886.6,40.7,845.9,0.00821,121.8026797,"Top",NA,126,124,2,239,"2019","1","corn","2-year",15347.1376422,15103.5322828,243.6053594,29110.8404483,19610.2314317
"19","E","C2","conv",3420.6,367.9,3052.7,0.00768,130.2083333,"Bottom",61862,169,164,5,68,"2019","1","corn","2-year",22005.2083277,21354.1666612,651.0416665,8854.1666644,24609.3749937
"19","E","C2","conv",897.6,45.5,852.1,0.00816,122.5490196,"Top",NA,281,258,23,606,"2019","1","corn","2-year",34436.2745076,31617.6470568,2818.6274508,74264.7058776,37254.9019584
"21","W","C4","low",2656.8,362.1,2294.7,0.00743,134.589502,"Bottom",9604,8,6,2,8,"2019","2","corn","4-year",1076.716016,807.537012,269.179004,1076.716016,7402.42261
"21","W","C4","low",874.3,42.2,832.1,0.00818,122.2493888,"Top",NA,5,4,1,24,"2019","2","corn","4-year",611.246944,488.9975552,122.2493888,2933.9853312,2200.4889984
"21","E","C4","conv",2240.1,367,1873.1,0.00719,139.0820584,"Bottom",7120,18,15,3,12,"2019","2","corn","4-year",2503.4770512,2086.230876,417.2461752,1668.9847008,5006.9541024
"21","E","C4","conv",655.4,42.5,612.9,0.00804,124.3781095,"Top",NA,9,4,5,0,"2019","2","corn","4-year",1119.4029855,497.512438,621.8905475,0,2114.4278615
"22","W","A4","conv",2461.7,360.9,2100.8,0.00734,136.239782,"Bottom",13316,15,15,0,8,"2019","2","alfalfa","4-year",2043.59673,2043.59673,0,1089.918256,3678.474114
"22","W","A4","conv",599.2,42.5,556.7,0.00799,125.1564456,"Top",NA,33,31,2,32,"2019","2","alfalfa","4-year",4130.1627048,3879.8498136,250.3128912,4005.0062592,9637.0463112
"22","E","A4","low",3031,360.8,2670.2,0.00758,131.9261214,"Bottom",19956,21,21,0,11,"2019","2","alfalfa","4-year",2770.4485494,2770.4485494,0,1451.1873354,7124.0105556
"22","E","A4","low",703.1,40.3,662.8,0.00811,123.3045623,"Top",NA,36,33,3,133,"2019","2","alfalfa","4-year",4438.9642428,4069.0505559,369.9136869,16399.5067859,12823.6744792
"23","W","O3","conv",3037,362.3,2674.7,0.00757,132.1003963,"Bottom",48128,149,138,11,30,"2019","2","oat","3-year",19682.9590487,18229.8546894,1453.1043593,3963.011889,23513.8705414
"23","W","O3","conv",755.8,49.2,706.6,0.00804,124.3781095,"Top",NA,168,149,19,82,"2019","2","oat","3-year",20895.522396,18532.3383155,2363.1840805,10199.004979,24626.865681
"23","E","O3","low",2849.4,363.9,2485.5,0.0075,133.3333333,"Bottom",27006,25,23,2,17,"2019","2","oat","3-year",3333.3333325,3066.6666659,266.6666666,2266.6666661,11066.6666639
"23","E","O3","low",652.1,43.3,608.8,0.00803,124.5330012,"Top",NA,91,79,12,107,"2019","2","oat","3-year",11332.5031092,9838.1070948,1494.3960144,13325.0311284,15940.2241536
"24","W","S2","low",2777,360.2,2416.8,0.00748,133.6898396,"Bottom",10110,13,11,2,30,"2019","2","soybean","2-year",1737.9679148,1470.5882356,267.3796792,4010.695188,5748.6631028
"24","W","S2","low",772.9,72.9,700,0.00779,128.3697047,"Top",NA,6,5,1,52,"2019","2","soybean","2-year",770.2182282,641.8485235,128.3697047,6675.2246444,4364.5699598
"24","E","S2","conv",2499.4,362.2,2137.2,0.00735,136.0544218,"Bottom",7822,14,11,3,20,"2019","2","soybean","2-year",1904.7619052,1496.5986398,408.1632654,2721.088436,4489.7959194
"24","E","S2","conv",684.9,40.1,644.8,0.0081,123.4567901,"Top",NA,6,6,0,37,"2019","2","soybean","2-year",740.7407406,740.7407406,0,4567.9012337,3333.3333327
"25","W","C3","low",6648.4,364,6284.4,0.00813,123.00123,"Bottom",18322,43,36,7,104,"2019","2","corn","3-year",5289.05289,4428.04428,861.00861,12792.12792,15129.15129
"25","W","C3","low",800.1,42.1,758,0.00815,122.6993865,"Top",NA,7,5,2,42,"2019","2","corn","3-year",858.8957055,613.4969325,245.398773,5153.374233,3190.184049
"25","E","C3","conv",2520.7,366.9,2153.8,0.00735,136.0544218,"Bottom",23520,109,102,7,148,"2019","2","corn","3-year",14829.9319762,13877.5510236,952.3809526,20136.0544264,20272.1088482
"25","E","C3","conv",716.4,48.6,667.8,0.00802,124.6882793,"Top",NA,26,23,3,49,"2019","2","corn","3-year",3241.8952618,2867.8304239,374.0648379,6109.7256857,3241.8952618
"26","W","S3","conv",2888.4,363.6,2524.8,0.00752,132.9787234,"Bottom",6207,14,10,4,10,"2019","2","soybean","3-year",1861.7021276,1329.787234,531.9148936,1329.787234,5585.1063828
"26","W","S3","conv",739.4,45.8,693.6,0.00807,123.9157373,"Top",NA,2,1,1,12,"2019","2","soybean","3-year",247.8314746,123.9157373,123.9157373,1486.9888476,619.5786865
"26","E","S3","low",2289.6,365.3,1924.3,0.00723,138.3125864,"Bottom",10345,15,5,10,9,"2019","2","soybean","3-year",2074.688796,691.562932,1383.125864,1244.8132776,8713.6929432
"26","E","S3","low",636.5,45.9,590.6,0.00798,125.3132832,"Top",NA,2,2,0,13,"2019","2","soybean","3-year",250.6265664,250.6265664,0,1629.0726816,1629.0726816
"27","W","C2","conv",3154.4,362.9,2791.5,0.00761,131.4060447,"Bottom",9646,13,9,4,7,"2019","2","corn","2-year",1708.2785811,1182.6544023,525.6241788,919.8423129,2365.3088046
"27","W","C2","conv",812.6,46.9,765.7,0.0081,123.4567901,"Top",NA,58,46,12,141,"2019","2","corn","2-year",7160.4938258,5679.0123446,1481.4814812,17407.4074041,7283.9506159
"27","E","C2","low",2565.9,362.6,2203.3,0.00738,135.501355,"Bottom",10067,26,26,0,25,"2019","2","corn","2-year",3523.03523,3523.03523,0,3387.533875,4065.04065
"27","E","C2","low",628.3,44.3,584,0.00799,125.1564456,"Top",NA,36,29,7,68,"2019","2","corn","2-year",4505.6320416,3629.5369224,876.0951192,8510.6383008,6007.5093888
"28","W","S4","conv",2564.4,363.1,2201.3,0.00738,135.501355,"Bottom",8964,20,19,1,46,"2019","2","soybean","4-year",2710.0271,2574.525745,135.501355,6233.06233,7723.577235
"28","W","S4","conv",665.8,42.7,623.1,0.00805,124.2236025,"Top",NA,3,3,0,6,"2019","2","soybean","4-year",372.6708075,372.6708075,0,745.341615,1242.236025
"28","E","S4","low",2621,360.3,2260.7,0.00742,134.7708895,"Bottom",14085,41,35,6,59,"2019","2","soybean","4-year",5525.6064695,4716.9811325,808.625337,7951.4824805,13342.3180605
"28","E","S4","low",768.1,42.9,725.2,0.00812,123.1527094,"Top",NA,5,5,0,18,"2019","2","soybean","4-year",615.763547,615.763547,0,2216.7487692,738.9162564
"29","W","O4","conv",2193.9,372,1821.9,0.00714,140.0560224,"Bottom",21584,26,18,8,13,"2019","2","oat","4-year",3641.4565824,2521.0084032,1120.4481792,1820.7282912,4341.7366944
"29","W","O4","conv",582.6,48.3,534.3,0.00789,126.7427123,"Top",NA,56,52,4,39,"2019","2","oat","4-year",7097.5918888,6590.6210396,506.9708492,4942.9657797,17237.0088728
"29","E","O4","low",2643.5,362.3,2281.2,0.00742,134.7708895,"Bottom",31515,59,47,12,43,"2019","2","oat","4-year",7951.4824805,6334.2318065,1617.250674,5795.1482485,11725.0673865
"29","E","O4","low",666.5,43.9,622.6,0.00803,124.5330012,"Top",NA,113,105,8,123,"2019","2","oat","4-year",14072.2291356,13075.965126,996.2640096,15317.5591476,19800.7471908
"31","W","C4","conv",3052,367.3,2684.7,0.00757,132.1003963,"Bottom",1560,6,4,2,5,"2019","3","corn","4-year",792.6023778,528.4015852,264.2007926,660.5019815,1188.9035667
"31","W","C4","conv",747.3,44,703.3,0.00809,123.6093943,"Top",NA,2,2,0,4,"2019","3","corn","4-year",247.2187886,247.2187886,0,494.4375772,370.8281829
"31","E","C4","low",2071.2,360,1711.2,0.00711,140.6469761,"Bottom",7406,14,11,3,2,"2019","3","corn","4-year",1969.0576654,1547.1167371,421.9409283,281.2939522,6891.7018289
"31","E","C4","low",747.4,64.8,682.6,0.00785,127.388535,"Top",NA,4,3,1,2,"2019","3","corn","4-year",509.55414,382.165605,127.388535,254.77707,509.55414
"32","W","O4","low",2650.6,361.4,2289.2,0.00743,134.589502,"Bottom",30628,30,15,15,58,"2019","3","oat","4-year",4037.68506,2018.84253,2018.84253,7806.191116,6191.117092
"32","W","O4","low",714.8,41.3,673.5,0.0081,123.4567901,"Top",NA,135,123,12,98,"2019","3","oat","4-year",16666.6666635,15185.1851823,1481.4814812,12098.7654298,24444.4444398
"32","E","O4","conv",2475,361.4,2113.6,0.00734,136.239782,"Bottom",22303,20,17,3,10,"2019","3","oat","4-year",2724.79564,2316.076294,408.719346,1362.39782,4904.632152
"32","E","O4","conv",717.7,41.5,676.2,0.0081,123.4567901,"Top",NA,106,100,6,46,"2019","3","oat","4-year",13086.4197506,12345.67901,740.7407406,5679.0123446,17407.4074041
"33","W","C3","low",3344.3,369,2975.3,0.00765,130.7189542,"Bottom",16845,77,67,10,49,"2019","3","corn","3-year",10065.3594734,8758.1699314,1307.189542,6405.2287558,13725.490191
"33","W","C3","low",902.3,62,840.3,0.00801,124.8439451,"Top",NA,14,10,4,16,"2019","3","corn","3-year",1747.8152314,1248.439451,499.3757804,1997.5031216,3121.0986275
"33","E","C3","conv",2746.4,374.4,2372,0.00743,134.589502,"Bottom",5761,27,22,5,11,"2019","3","corn","3-year",3633.916554,2960.969044,672.94751,1480.484522,4172.274562
"33","E","C3","conv",841.6,40.2,801.4,0.00819,122.1001221,"Top",NA,11,10,1,42,"2019","3","corn","3-year",1343.1013431,1221.001221,122.1001221,5128.2051282,1587.3015873
"34","W","S2","low",3597.2,368.7,3228.5,0.00772,129.5336788,"Bottom",7187,18,17,1,23,"2019","3","soybean","2-year",2331.6062184,2202.0725396,129.5336788,2979.2746124,5310.8808308
"34","W","S2","low",602.2,42.1,560.1,0.008,125,"Top",NA,9,4,5,21,"2019","3","soybean","2-year",1125,500,625,2625,1875
"34","E","S2","conv",3362.9,370.8,2992.1,0.00765,130.7189542,"Bottom",2210,5,5,0,10,"2019","3","soybean","2-year",653.594771,653.594771,0,1307.189542,1830.0653588
"34","E","S2","conv",607.6,50.9,556.7,0.00788,126.9035533,"Top",NA,1,1,0,7,"2019","3","soybean","2-year",126.9035533,126.9035533,0,888.3248731,380.7106599
"35","W","C2","low",3013.3,359,2654.3,0.00758,131.9261214,"Bottom",9359,27,27,0,21,"2019","3","corn","2-year",3562.0052778,3562.0052778,0,2770.4485494,3562.0052778
"35","W","C2","low",816.1,46.5,769.6,0.00811,123.3045623,"Top",NA,42,40,2,84,"2019","3","corn","2-year",5178.7916166,4932.182492,246.6091246,10357.5832332,5795.3144281
"35","E","C2","conv",2630.6,362.7,2267.9,0.00741,134.9527665,"Bottom",33185,105,94,11,80,"2019","3","corn","2-year",14170.0404825,12685.560051,1484.4804315,10796.22132,15924.426447
"35","E","C2","conv",943,41.4,901.6,0.00822,121.6545012,"Top",NA,137,132,5,251,"2019","3","corn","2-year",16666.6666644,16058.3941584,608.272506,30535.2798012,17274.9391704
"36","W","S3","low",2788.6,360.9,2427.7,0.00749,133.5113485,"Bottom",15883,45,34,11,58,"2019","3","soybean","3-year",6008.0106825,4539.385849,1468.6248335,7743.658213,14018.6915925
"36","W","S3","low",794.4,48.8,745.6,0.00807,123.9157373,"Top",NA,6,3,3,5,"2019","3","soybean","3-year",743.4944238,371.7472119,371.7472119,619.5786865,1858.7360595
"36","E","S3","conv",3468.3,366.7,3101.6,0.00769,130.0390117,"Bottom",7403,15,12,3,21,"2019","3","soybean","3-year",1950.5851755,1560.4681404,390.1170351,2730.8192457,7152.1456435
"36","E","S3","conv",619.7,47.6,572.1,0.00794,125.9445844,"Top",NA,2,2,0,1,"2019","3","soybean","3-year",251.8891688,251.8891688,0,125.9445844,251.8891688
"37","W","S4","low",2498.2,365.6,2132.6,0.00734,136.239782,"Bottom",13763,33,26,7,12,"2019","3","soybean","4-year",4495.912806,3542.234332,953.678474,1634.877384,12534.059944
"37","W","S4","low",743.3,41.3,702,0.00812,123.1527094,"Top",NA,1,1,0,5,"2019","3","soybean","4-year",123.1527094,123.1527094,0,615.763547,1231.527094
"37","E","S4","conv",3649.5,364.5,3285,0.00774,129.1989664,"Bottom",8486,26,22,4,12,"2019","3","soybean","4-year",3359.1731264,2842.3772608,516.7958656,1550.3875968,7364.3410848
"37","E","S4","conv",674.6,45.5,629.1,0.00802,124.6882793,"Top",NA,2,1,1,0,"2019","3","soybean","4-year",249.3765586,124.6882793,124.6882793,0,1122.1945137
"38","W","O3","conv",2934.3,368.8,2565.5,0.00752,132.9787234,"Bottom",26314,41,39,2,16,"2019","3","oat","3-year",5452.1276594,5186.1702126,265.9574468,2127.6595744,8111.7021274
"38","W","O3","conv",831.5,45.3,786.2,0.00813,123.00123,"Top",NA,65,59,6,27,"2019","3","oat","3-year",7995.07995,7257.07257,738.00738,3321.03321,18204.18204
"38","E","O3","low",2580.7,362.5,2218.2,0.00739,135.3179973,"Bottom",27669,39,29,10,17,"2019","3","oat","3-year",5277.4018947,3924.2219217,1353.179973,2300.4059541,9066.3058191
"38","E","O3","low",863.9,48.6,815.3,0.00812,123.1527094,"Top",NA,108,93,15,84,"2019","3","oat","3-year",13300.4926152,11453.2019742,1847.290641,10344.8275896,18596.0591194
"39","W","A4","low",2848.5,363,2485.5,0.0075,133.3333333,"Bottom",33439,53,40,13,22,"2019","3","alfalfa","4-year",7066.6666649,5333.333332,1733.3333329,2933.3333326,14399.9999964
"39","W","A4","low",794.4,42.7,751.7,0.00814,122.8501229,"Top",NA,88,65,23,176,"2019","3","alfalfa","4-year",10810.8108152,7985.2579885,2825.5528267,21621.6216304,19041.7690495
"39","E","A4","conv",2870.8,363.7,2507.1,0.00751,133.1557923,"Bottom",22898,20,18,2,6,"2019","3","alfalfa","4-year",2663.115846,2396.8042614,266.3115846,798.9347538,5326.231692
"39","E","A4","conv",952.9,44.9,908,0.00819,122.1001221,"Top",NA,75,67,8,89,"2019","3","alfalfa","4-year",9157.5091575,8180.7081807,976.8009768,10866.9108669,17582.4175824
"41","W","A4","low",2450,362.9,2087.1,0.00733,136.425648,"Bottom",13036,16,12,4,14,"2019","4","alfalfa","4-year",2182.810368,1637.107776,545.702592,1909.959072,3001.364256
"41","W","A4","low",655.1,47.7,607.4,0.00797,125.4705144,"Top",NA,66,54,12,83,"2019","4","alfalfa","4-year",8281.0539504,6775.4077776,1505.6461728,10414.0526952,10037.641152
"41","E","A4","conv",2965.3,364.9,2600.4,0.00754,132.6259947,"Bottom",10440,23,18,5,21,"2019","4","alfalfa","4-year",3050.3978781,2387.2679046,663.1299735,2785.1458887,3448.2758622
"41","E","A4","conv",903.7,47.1,856.6,0.00815,122.6993865,"Top",NA,47,44,3,84,"2019","4","alfalfa","4-year",5766.8711655,5398.773006,368.0981595,10306.748466,6993.8650305
"42","W","C3","conv",2256.9,367.8,1889.1,0.0072,138.8888889,"Bottom",6183,26,23,3,23,"2019","4","corn","3-year",3611.1111114,3194.4444447,416.6666667,3194.4444447,4444.4444448
"42","W","C3","conv",754.2,47.6,706.6,0.00806,124.0694789,"Top",NA,11,9,2,20,"2019","4","corn","3-year",1364.7642679,1116.6253101,248.1389578,2481.389578,1736.9727046
"42","E","C3","low",2251.6,362.9,1888.7,0.00721,138.6962552,"Bottom",25193,103,86,17,124,"2019","4","corn","3-year",14285.7142856,11927.8779472,2357.8363384,17198.3356448,21081.8307904
"42","E","C3","low",655,45.4,609.6,0.008,125,"Top",NA,24,22,2,42,"2019","4","corn","3-year",3000,2750,250,5250,4125
"43","W","C4","conv",1755.3,365.2,1390.1,0.00681,146.8428781,"Bottom",5083,3,3,0,7,"2019","4","corn","4-year",440.5286343,440.5286343,0,1027.9001467,3964.7577087
"43","W","C4","conv",645.1,41.8,603.3,0.00804,124.3781095,"Top",NA,0,0,0,4,"2019","4","corn","4-year",0,0,0,497.512438,1119.4029855
"43","E","C4","low",2164.8,362.8,1802,0.00716,139.6648045,"Bottom",11361,10,10,0,1,"2019","4","corn","4-year",1396.648045,1396.648045,0,139.6648045,10614.525142
"43","E","C4","low",707.8,44.9,662.9,0.00805,124.2236025,"Top",NA,0,0,0,12,"2019","4","corn","4-year",0,0,0,1490.68323,745.341615
"44","W","S2","conv",2852,361.8,2490.2,0.00751,133.1557923,"Bottom",5863,8,7,1,6,"2019","4","soybean","2-year",1065.2463384,932.0905461,133.1557923,798.9347538,1331.557923
"44","W","S2","conv",905.5,45.8,859.7,0.00817,122.3990208,"Top",NA,31,26,5,60,"2019","4","soybean","2-year",3794.3696448,3182.3745408,611.995104,7343.941248,4528.7637696
"44","E","S2","low",2453.7,364.8,2088.9,0.00732,136.6120219,"Bottom",9893,15,11,4,18,"2019","4","soybean","2-year",2049.1803285,1502.7322409,546.4480876,2459.0163942,2322.4043723
"44","E","S2","low",722.9,45.6,677.3,0.00806,124.0694789,"Top",NA,47,39,8,95,"2019","4","soybean","2-year",5831.2655083,4838.7096771,992.5558312,11786.6004955,7568.2382129
"45","W","C2","low",2605.6,322,2283.6,0.00754,132.6259947,"Bottom",12561,39,38,1,26,"2019","4","corn","2-year",5172.4137933,5039.7877986,132.6259947,3448.2758622,9814.3236078
"45","W","C2","low",658.5,44.3,614.2,0.00802,124.6882793,"Top",NA,12,9,3,47,"2019","4","corn","2-year",1496.2593516,1122.1945137,374.0648379,5860.3491271,2743.1421446
"45","E","C2","conv",2612.1,364.9,2247.2,0.0074,135.1351351,"Bottom",10040,12,12,0,23,"2019","4","corn","2-year",1621.6216212,1621.6216212,0,3108.1081073,5945.9459444
"45","E","C2","conv",727.9,45.4,682.5,0.00806,124.0694789,"Top",NA,9,9,0,24,"2019","4","corn","2-year",1116.6253101,1116.6253101,0,2977.6674936,4094.2928037
"46","W","S4","low",2492.4,375.2,2117.2,0.00731,136.7989056,"Bottom",11291,19,17,2,41,"2019","4","soybean","4-year",2599.1792064,2325.5813952,273.5978112,5608.7551296,9028.7277696
"46","W","S4","low",729.5,52.8,676.7,0.00798,125.3132832,"Top",NA,8,6,2,7,"2019","4","soybean","4-year",1002.5062656,751.8796992,250.6265664,877.1929824,2255.6390976
"46","E","S4","conv",2458.5,367.6,2090.9,0.00731,136.7989056,"Bottom",4882,13,13,0,14,"2019","4","soybean","4-year",1778.3857728,1778.3857728,0,1915.1846784,4514.3638848
"46","E","S4","conv",730.4,42.2,688.2,0.0081,123.4567901,"Top",NA,1,1,0,1,"2019","4","soybean","4-year",123.4567901,123.4567901,0,123.4567901,370.3703703
"47","W","S3","conv",2463.6,360.4,2103.2,0.00734,136.239782,"Bottom",3384,4,4,0,2,"2019","4","soybean","3-year",544.959128,544.959128,0,272.479564,3133.514986
"47","W","S3","conv",618.4,45.6,572.8,0.00797,125.4705144,"Top",NA,0,0,0,0,"2019","4","soybean","3-year",0,0,0,0,250.9410288
"47","E","S3","low",2382.3,367.5,2014.8,0.00727,137.5515818,"Bottom",2843,7,6,1,3,"2019","4","soybean","3-year",962.8610726,825.3094908,137.5515818,412.6547454,1237.9642362
"47","E","S3","low",767.6,44.9,722.7,0.0081,123.4567901,"Top",NA,3,2,1,2,"2019","4","soybean","3-year",370.3703703,246.9135802,123.4567901,246.9135802,1604.9382713
"48","W","O3","low",2286.1,368.4,1917.7,0.00721,138.6962552,"Bottom",13576,40,17,23,10,"2019","4","oat","3-year",5547.850208,2357.8363384,3190.0138696,1386.962552,7628.294036
"48","W","O3","low",694.1,43.2,650.9,0.00806,124.0694789,"Top",NA,33,4,29,56,"2019","4","oat","3-year",4094.2928037,496.2779156,3598.0148881,6947.8908184,5955.3349872
"48","E","O3","conv",2612.9,363.4,2249.5,0.0074,135.1351351,"Bottom",19657,30,18,12,51,"2019","4","oat","3-year",4054.054053,2432.4324318,1621.6216212,6891.8918901,9189.1891868
"48","E","O3","conv",677,53.1,623.9,0.00793,126.1034048,"Top",NA,54,38,16,111,"2019","4","oat","3-year",6809.5838592,4791.9293824,2017.6544768,13997.4779328,10466.5825984
"49","W","O4","low",2328.8,361.1,1967.7,0.00727,137.5515818,"Bottom",15968,17,12,5,20,"2019","4","oat","4-year",2338.3768906,1650.6189816,687.757909,2751.031636,3438.789545
"49","W","O4","low",614,44.1,569.9,0.00798,125.3132832,"Top",NA,68,37,31,71,"2019","4","oat","4-year",8521.3032576,4636.5914784,3884.7117792,8897.2431072,12531.32832
"49","E","O4","conv",2163.3,41.8,2121.5,0.00843,118.623962,"Top",17288,47,41,6,82,"2019","4","oat","4-year",5575.326214,4863.582442,711.743772,9727.164884,8778.173188
"49","E","O4","conv",988.1,367.3,620.8,0.0054,185.1851852,"Bottom",NA,26,17,9,43,"2019","4","oat","4-year",4814.8148152,3148.1481484,1666.6666668,7962.9629636,8518.5185192
