"Plot","Side","Quadrat","Crop","Rotation","Herbicide","Corn_weed_management","Cohort","Color","Date_begin","Date_end","Block","Crop_ID","Year","Interval","Sex","Weight"
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1162
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1312
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1367
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1859
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.4286
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.4848
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1926
"11","W","5","oat","3-year","conv","conv",2,"purple",2019-07-09,2019-09-30,"1","O3","2019",83,"female",0.0616
"11","W","5","oat","3-year","conv","conv",2,"purple",2019-07-09,2019-09-30,"1","O3","2019",83,"female",0.109
"11","W","8","oat","3-year","conv","conv",2,"purple",2019-07-09,2019-09-30,"1","O3","2019",83,"female",0.0853
"12","E","5","corn","4-year","low","low",3,"red",2019-08-05,2019-09-19,"1","C4","2019",45,"female",0.0155
"12","E","8","corn","4-year","low","low",1,"plain",2019-06-26,2019-09-19,"1","C4","2019",85,"female",0.29
"14","E","1","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0594
"14","E","1","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.287
"14","E","1","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1724
"14","E","1","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0234
"14","E","1","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0395
"14","E","1","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0442
"14","E","1","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0657
"14","E","1","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1045
"14","E","1","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1164
"14","E","1","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1278
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.5588
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.2202
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.8339
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1385
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.3521
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.0899
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1599
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1665
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1897
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.343
"14","E","1","oat","4-year","conv","conv",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.8855
"14","E","1","oat","4-year","conv","conv",5,"yellow",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.0321
"14","E","1","oat","4-year","conv","conv",5,"yellow",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.0581
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4057
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.473
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4761
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4834
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.5011
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.9159
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.2927
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.7617
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.0101
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.068
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.0922
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1116
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1443
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1453
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.15
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.164
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1783
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1807
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2039
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.309
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.3261
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4993
"14","E","2","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.5099
"14","E","2","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0359
"14","E","2","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0548
"14","E","2","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0748
"14","E","2","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1081
"14","E","2","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1491
"14","E","2","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1906
"14","E","2","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.2113
"14","E","2","oat","4-year","conv","conv",5,"prism red",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.0615
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0119
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0141
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0205
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0223
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0258
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0488
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.063
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0109
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0205
"14","E","2","oat","4-year","conv","conv",3,"red",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0385
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1361
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2142
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2518
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2564
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.356
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4454
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4542
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4576
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4617
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.5032
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.5203
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.8632
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.0129
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.6702
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.7316
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.8005
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.8501
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.8866
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.9238
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.1152
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.2697
"14","E","3","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.4057
"14","E","3","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0837
"14","E","3","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0951
"14","E","3","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0981
"14","E","3","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.214
"14","E","3","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.2727
"14","E","3","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.4803
"14","E","3","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0529
"14","E","3","oat","4-year","conv","conv",5,"prism red",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.01
"14","E","3","oat","4-year","conv","conv",5,"prism red",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.0346
"14","E","3","oat","4-year","conv","conv",5,"prism red",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.0427
"14","E","3","oat","4-year","conv","conv",5,"prism red",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.1646
"14","E","3","oat","4-year","conv","conv",5,"prism red",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.1801
"14","E","4","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.532
"14","E","4","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.9074
"14","E","4","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",3.5122
"14","E","4","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1603
"14","E","4","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0414
"14","E","4","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.1394
"14","E","4","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0753
"14","E","4","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0878
"14","E","5","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.3374
"14","E","5","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.361
"14","E","6","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1541
"14","E","6","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.3152
"14","E","6","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.6735
"14","E","7","oat","4-year","conv","conv",4,"yellow",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0059
"14","E","7","oat","4-year","conv","conv",4,"yellow",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0059
"14","E","7","oat","4-year","conv","conv",4,"yellow",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0099
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.0406
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.052
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.0746
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1097
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.141
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2517
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.366
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.5721
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.6364
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1409
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2885
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.8025
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.448
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2508
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2287
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2217
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1018
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1382
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1367
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1957
"14","E","8","oat","4-year","conv","conv",1,"green",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.4802
"14","E","8","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.1489
"14","E","8","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.0328
"14","E","8","oat","4-year","conv","conv",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.1866
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.024
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0257
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0559
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0639
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0849
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1084
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1143
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1385
"14","E","8","oat","4-year","conv","conv",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.3245
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0048
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0073
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0078
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0108
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.018
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0267
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0281
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.032
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0381
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.0457
"14","W","1","oat","4-year","low","low",4,"red",2019-07-30,2019-09-25,"1","O4","2019",57,"female",0.1364
"14","W","1","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.9595
"14","W","1","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",1.4023
"14","W","2","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1002
"14","W","2","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.1268
"14","W","2","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.4216
"14","W","2","oat","4-year","low","low",5,"prism red",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.0369
"14","W","2","oat","4-year","low","low",5,"prism red",2019-08-13,2019-09-25,"1","O4","2019",43,"female",0.037
"14","W","3","oat","4-year","low","low",3,"lime green",2019-07-09,2019-09-25,"1","O4","2019",78,"female",0.1663
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0102
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0111
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0113
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0134
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0139
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0149
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0168
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0191
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.02
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0216
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0219
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0227
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0293
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0348
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0354
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0373
"14","W","3","oat","4-year","low","low",2,"plain",2019-06-17,2019-09-25,"1","O4","2019",100,"female",0.0513
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.055
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.0556
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1163
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.1454
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.207
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2129
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2874
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2967
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.2992
"14","W","3","oat","4-year","low","low",1,"teal",2019-05-23,2019-09-25,"1","O4","2019",125,"female",0.326
